track_id,clase,confianza_promedio,frames_visible,tiempo_visible_s,rois_visitadas,visitas__pasillo_norte,tiempo_s__pasillo_norte,visitas__bahias_centro,tiempo_s__bahias_centro,visitas__pasillo_sur,tiempo_s__pasillo_sur
593,car,0.3547,2,0.067,0,0,0.0,0,0.0,0,0.0
594,car,0.372,11,0.367,0,0,0.0,0,0.0,0,0.0
600,car,0.3575,2,0.067,0,0,0.0,0,0.0,0,0.0
601,car,0.4433,36,1.201,0,0,0.0,0,0.0,0,0.0
602,car,0.3919,68,2.269,0,0,0.0,0,0.0,0,0.0
608,car,0.4086,4,0.133,0,0,0.0,0,0.0,0,0.0
610,car,0.3828,31,1.034,0,0,0.0,0,0.0,0,0.0
612,car,0.3781,7,0.234,0,0,0.0,0,0.0,0,0.0
613,car,0.372,1,0.033,0,0,0.0,0,0.0,0,0.0
615,car,0.4509,1,0.033,0,0,0.0,0,0.0,0,0.0
616,car,0.3686,4,0.133,0,0,0.0,0,0.0,0,0.0
618,car,0.3904,135,4.505,0,0,0.0,0,0.0,0,0.0
620,car,0.478,7,0.234,1,0,0.0,0,0.0,1,0.334
624,car,0.3886,167,5.572,1,0,0.0,8,6.073,0,0.0
625,car,0.5055,12,0.4,0,0,0.0,0,0.0,0,0.0
627,car,0.3665,5,0.167,0,0,0.0,0,0.0,0,0.0
629,car,0.5827,57,1.902,0,0,0.0,0,0.0,0,0.0
631,car,0.3532,1,0.033,0,0,0.0,0,0.0,0,0.0
632,car,0.3769,1,0.033,0,0,0.0,0,0.0,0,0.0
634,car,0.4549,1,0.033,0,0,0.0,0,0.0,0,0.0
641,car,0.6129,99,3.303,3,1,0.133,1,2.569,1,0.4
642,car,0.5973,98,3.27,1,1,1.568,0,0.0,0,0.0
643,car,0.4574,21,0.701,0,0,0.0,0,0.0,0,0.0
644,car,0.378,1,0.033,0,0,0.0,0,0.0,0,0.0
646,car,0.607,63,2.102,0,0,0.0,0,0.0,0,0.0
649,car,0.4985,5,0.167,1,0,0.0,1,0.167,0,0.0
656,car,0.3946,92,3.07,1,0,0.0,6,2.97,0,0.0
659,car,0.3817,9,0.3,0,0,0.0,0,0.0,0,0.0
661,car,0.3873,3,0.1,0,0,0.0,0,0.0,0,0.0
666,car,0.3664,24,0.801,0,0,0.0,0,0.0,0,0.0
670,car,0.3927,23,0.767,0,0,0.0,0,0.0,0,0.0
672,car,0.4913,107,3.57,0,0,0.0,0,0.0,0,0.0
679,car,0.4665,32,1.068,0,0,0.0,0,0.0,0,0.0
680,car,0.3752,5,0.167,0,0,0.0,0,0.0,0,0.0
685,car,0.3833,19,0.634,0,0,0.0,0,0.0,0,0.0
686,car,0.4133,1,0.033,0,0,0.0,0,0.0,0,0.0
687,car,0.3784,42,1.401,1,0,0.0,2,1.835,0,0.0
690,car,0.3949,2,0.067,0,0,0.0,0,0.0,0,0.0
695,car,0.4159,120,4.004,1,0,0.0,3,4.204,0,0.0
696,car,0.384,1,0.033,0,0,0.0,0,0.0,0,0.0
697,car,0.4416,83,2.769,0,0,0.0,0,0.0,0,0.0
699,car,0.4093,106,3.537,0,0,0.0,0,0.0,0,0.0
701,car,0.4016,104,3.47,0,0,0.0,0,0.0,0,0.0
702,car,0.3818,3,0.1,0,0,0.0,0,0.0,0,0.0
703,car,0.4778,76,2.536,2,2,1.335,1,1.602,0,0.0
704,car,0.3792,13,0.434,0,0,0.0,0,0.0,0,0.0
706,car,0.5639,64,2.135,0,0,0.0,0,0.0,0,0.0
708,car,0.5509,172,5.739,2,1,0.701,1,3.437,0,0.0
710,car,0.6382,145,4.838,2,1,1.702,2,3.17,0,0.0
711,car,0.3814,7,0.234,0,0,0.0,0,0.0,0,0.0
713,car,0.4032,82,2.736,0,0,0.0,0,0.0,0,0.0
720,car,0.3609,3,0.1,0,0,0.0,0,0.0,0,0.0
722,car,0.3785,9,0.3,1,0,0.0,1,0.234,0,0.0
723,car,0.3896,40,1.335,0,0,0.0,0,0.0,0,0.0
724,car,0.3764,6,0.2,0,0,0.0,0,0.0,0,0.0
727,car,0.5392,132,4.404,1,1,2.202,0,0.0,0,0.0
728,car,0.4401,32,1.068,0,0,0.0,0,0.0,0,0.0
729,car,0.4691,55,1.835,0,0,0.0,0,0.0,0,0.0
730,car,0.4199,2,0.067,0,0,0.0,0,0.0,0,0.0
733,car,0.4563,48,1.602,1,1,1.468,0,0.0,0,0.0
734,car,0.3637,1,0.033,0,0,0.0,0,0.0,0,0.0
736,car,0.3956,10,0.334,0,0,0.0,0,0.0,0,0.0
740,car,0.3672,2,0.067,0,0,0.0,0,0.0,0,0.0
742,car,0.4787,16,0.534,1,1,0.567,0,0.0,0,0.0
743,car,0.3665,4,0.133,0,0,0.0,0,0.0,0,0.0
746,car,0.3688,5,0.167,0,0,0.0,0,0.0,0,0.0
747,car,0.4026,13,0.434,0,0,0.0,0,0.0,0,0.0
751,car,0.3533,1,0.033,0,0,0.0,0,0.0,0,0.0
752,car,0.4144,34,1.134,1,0,0.0,1,0.934,0,0.0
754,car,0.4065,13,0.434,0,0,0.0,0,0.0,0,0.0
756,car,0.3652,6,0.2,0,0,0.0,0,0.0,0,0.0
758,car,0.358,1,0.033,0,0,0.0,0,0.0,0,0.0
759,car,0.3685,4,0.133,0,0,0.0,0,0.0,0,0.0
767,car,0.3854,26,0.868,0,0,0.0,0,0.0,0,0.0
768,car,0.3933,24,0.801,0,0,0.0,0,0.0,0,0.0
769,car,0.3591,2,0.067,0,0,0.0,0,0.0,0,0.0
774,car,0.5642,28,0.934,1,1,1.068,0,0.0,0,0.0
777,car,0.3761,11,0.367,0,0,0.0,0,0.0,0,0.0
778,car,0.5226,33,1.101,0,0,0.0,0,0.0,0,0.0
780,car,0.4048,32,1.068,1,0,0.0,2,1.068,0,0.0
781,car,0.3829,4,0.133,1,0,0.0,1,0.133,0,0.0
789,car,0.5159,14,0.467,1,1,0.567,0,0.0,0,0.0
792,car,0.3683,2,0.067,0,0,0.0,0,0.0,0,0.0
800,car,0.5605,18,0.601,0,0,0.0,0,0.0,0,0.0
801,car,0.3735,8,0.267,1,0,0.0,1,0.267,0,0.0
804,car,0.4757,10,0.334,0,0,0.0,0,0.0,0,0.0
807,car,0.3725,6,0.2,0,0,0.0,0,0.0,0,0.0
811,car,0.4845,13,0.434,0,0,0.0,0,0.0,0,0.0
815,car,0.3946,1,0.033,0,0,0.0,0,0.0,0,0.0
819,car,0.3894,5,0.167,0,0,0.0,0,0.0,0,0.0
820,car,0.398,9,0.3,1,0,0.0,1,0.267,0,0.0
821,car,0.5122,8,0.267,0,0,0.0,0,0.0,0,0.0
823,car,0.3562,1,0.033,0,0,0.0,0,0.0,0,0.0
825,car,0.3728,1,0.033,0,0,0.0,0,0.0,0,0.0
826,car,0.3519,1,0.033,0,0,0.0,0,0.0,0,0.0
